FECHA RECOGIDA MUESTRA;EDAR;RESULTADO SARS-COV-2;VARIACIÓN;OBSERVACIONES
2021-10-06;EDAR SEGOVIA (VATAR);NEGATIVO;S/D;Hubo precipitaciones el día anterior (0,8 mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2.
2021-10-06;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;
2021-10-06;EBAR ARROYO DE LA ENCOMIENDA;PRESUNTO POSITIVO;Disminución significativa;
2021-10-05;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-10-05;EDAR PALENCIA;NEGATIVO;S/D;
2021-10-05;EDAR SALAMANCA;NEGATIVO;S/D;
2021-10-05;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;
2021-10-05;EDAR SORIA (VATAR);POSITIVO;Estable;
2021-10-05;EDAR ARANDA DE DUERO;NEGATIVO;S/D;
2021-10-05;EDAR MEDINA DEL CAMPO;NEGATIVO;S/D;
2021-10-05;EDAR ZAMORA;NEGATIVO;S/D;
2021-10-05;EDAR ÁVILA;NEGATIVO;S/D;
2021-10-05;EDAR BENAVENTE;NEGATIVO;S/D;
2021-10-05;EDAR LA BAÑEZA;NEGATIVO;S/D;
2021-10-05;EDAR MIRANDA DE EBRO;NEGATIVO;S/D;
2021-10-05;EDAR PONFERRADA;NEGATIVO;S/D;
2021-10-05;EDAR ASTORGA;NEGATIVO;S/D;
2021-10-05;EDAR BÉJAR;NEGATIVO;S/D;
2021-10-05;EDAR BURGOS;NEGATIVO;S/D;
2021-10-05;EDAR CIUDAD RODRIGO;NEGATIVO;S/D;
2021-10-03;EDAR VALLADOLID (VATAR);POSITIVO;Estable;Hubo precipitaciones el mismo día (4,8 mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2.
2021-09-29;EDAR SEGOVIA (VATAR);POSITIVO;Estable;"Se calcula cuantitativamente cuando hay detección para la diana en cuestión ambas semanas, independientemente de que el valor se encuentre por debajo del límite de cuantificación. La variación cualitativa se obtiene en base a los siguientes intervalos: <-1 unidades logarítmicas de diferencia “Disminución significativa”; -1 a -0,4 “Disminución”; -0,4 a 0,4 “Estable""; 0,4 a 1 “Aumento”; >1 “Aumento significativo”."
2021-09-29;EBAR ARROYO DE LA ENCOMIENDA;POSITIVO;Aumento significativo;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-09-28;EDAR MEDINA DEL CAMPO;NEGATIVO;S/D;
2021-09-28;EDAR CIUDAD RODRIGO;NEGATIVO;S/D;
2021-09-28;COLECTOR LEÓN;NEGATIVO;S/D;
2021-09-28;EDAR MIRANDA DE EBRO;NEGATIVO;S/D;
2021-09-28;EDAR PONFERRADA;NEGATIVO;S/D;
2021-09-28;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;
2021-09-28;EDAR ZAMORA;NEGATIVO;S/D;
2021-09-28;EDAR BÉJAR;NEGATIVO;S/D;
2021-09-28;EDAR BENAVENTE;NEGATIVO;S/D;
2021-09-28;EDAR BURGOS;NEGATIVO;S/D;
2021-09-28;EDAR LA BAÑEZA;NEGATIVO;S/D;
2021-09-28;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-09-28;EDAR PALENCIA;NEGATIVO;S/D;
2021-09-28;EDAR SALAMANCA;NEGATIVO;S/D;
2021-09-28;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;
2021-09-28;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;
2021-09-28;EDAR SORIA (VATAR);POSITIVO;Aumento;
2021-09-28;EDAR ARANDA DE DUERO;NEGATIVO;S/D;
2021-09-28;EDAR ASTORGA;NEGATIVO;S/D;
2021-09-28;EDAR ÁVILA;NEGATIVO;S/D;
2021-09-26;EDAR VALLADOLID (VATAR);POSITIVO;Estable;Hubo precipitaciones el día anterior (5,2 mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2.
2021-09-22;EBAR ARROYO DE LA ENCOMIENDA;NEGATIVO;S/D;
2021-09-22;EDAR SEGOVIA (VATAR);POSITIVO;Estable;
2021-09-21;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-09-21;EDAR SALAMANCA;NEGATIVO;S/D;
2021-09-21;EDAR ZAMORA;NEGATIVO;S/D;
2021-09-21;EDAR ÁVILA;NEGATIVO;S/D;
2021-09-21;EDAR BENAVENTE;NEGATIVO;S/D;
2021-09-21;EDAR BURGOS;POSITIVO;Estable;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-09-21;EDAR CIUDAD RODRIGO;NEGATIVO;S/D;
2021-09-21;EDAR SORIA (VATAR);POSITIVO;Estable;
2021-09-21;EDAR ASTORGA;NEGATIVO;S/D;
2021-09-21;COLECTOR LEÓN;NEGATIVO;S/D;
2021-09-21;EDAR MEDINA DEL CAMPO;NEGATIVO;S/D;
2021-09-21;EDAR MIRANDA DE EBRO;NEGATIVO;S/D;
2021-09-21;EDAR PALENCIA;NEGATIVO;S/D;
